,Unnamed: 0,country_or_area,commodity_transaction,year,unit,quantity,category,commodity,transaction,wide_category
143637,491294,Portugal,Electricity - total geothermal production,2002,"Kilowatt-hours, million",96.0,geothermal,Electricity,total geothermal production,Green
143638,491295,Portugal,Electricity - total geothermal production,2001,"Kilowatt-hours, million",105.0,geothermal,Electricity,total geothermal production,Green
143639,491296,Portugal,Electricity - total geothermal production,2000,"Kilowatt-hours, million",80.0,geothermal,Electricity,total geothermal production,Green
143640,491297,Portugal,Electricity - total geothermal production,1999,"Kilowatt-hours, million",80.0,geothermal,Electricity,total geothermal production,Green
143641,491298,Portugal,Electricity - total geothermal production,1998,"Kilowatt-hours, million",58.0,geothermal,Electricity,total geothermal production,Green
143642,491299,Portugal,Electricity - total geothermal production,1997,"Kilowatt-hours, million",51.0,geothermal,Electricity,total geothermal production,Green
143643,491300,Portugal,Electricity - total geothermal production,1996,"Kilowatt-hours, million",49.0,geothermal,Electricity,total geothermal production,Green
143644,491301,Portugal,Electricity - total geothermal production,1995,"Kilowatt-hours, million",42.0,geothermal,Electricity,total geothermal production,Green
143645,491302,Portugal,Electricity - total geothermal production,1994,"Kilowatt-hours, million",33.0,geothermal,Electricity,total geothermal production,Green
143646,491303,Portugal,Electricity - total geothermal production,1993,"Kilowatt-hours, million",4.0,geothermal,Electricity,total geothermal production,Green
143647,491304,Portugal,Electricity - total geothermal production,1992,"Kilowatt-hours, million",5.0,geothermal,Electricity,total geothermal production,Green
143648,491305,Portugal,Electricity - total geothermal production,1991,"Kilowatt-hours, million",5.0,geothermal,Electricity,total geothermal production,Green
143649,491306,Portugal,Electricity - total geothermal production,1990,"Kilowatt-hours, million",4.0,geothermal,Electricity,total geothermal production,Green
175355,563569,Austria,Electricity - total hydro production,2014,"Kilowatt-hours, million",44828.0,hydro,Electricity,total hydro production,Green
175356,563570,Austria,Electricity - total hydro production,2013,"Kilowatt-hours, million",45777.0,hydro,Electricity,total hydro production,Green
175357,563571,Austria,Electricity - total hydro production,2012,"Kilowatt-hours, million",47705.0,hydro,Electricity,total hydro production,Green
175358,563572,Austria,Electricity - total hydro production,2011,"Kilowatt-hours, million",37782.0,hydro,Electricity,total hydro production,Green
175359,563573,Austria,Electricity - total hydro production,2010,"Kilowatt-hours, million",41558.0,hydro,Electricity,total hydro production,Green
175360,563574,Austria,Electricity - total hydro production,2009,"Kilowatt-hours, million",43669.0,hydro,Electricity,total hydro production,Green
175361,563575,Austria,Electricity - total hydro production,2008,"Kilowatt-hours, million",40690.0,hydro,Electricity,total hydro production,Green
175362,563576,Austria,Electricity - total hydro production,2007,"Kilowatt-hours, million",39248.0,hydro,Electricity,total hydro production,Green
175363,563577,Austria,Electricity - total hydro production,2006,"Kilowatt-hours, million",38238.0,hydro,Electricity,total hydro production,Green
175364,563578,Austria,Electricity - total hydro production,2005,"Kilowatt-hours, million",39020.0,hydro,Electricity,total hydro production,Green
175365,563579,Austria,Electricity - total hydro production,2004,"Kilowatt-hours, million",38966.0,hydro,Electricity,total hydro production,Green
175366,563580,Austria,Electricity - total hydro production,2003,"Kilowatt-hours, million",35292.0,hydro,Electricity,total hydro production,Green
175367,563581,Austria,Electricity - total hydro production,2002,"Kilowatt-hours, million",42020.0,hydro,Electricity,total hydro production,Green
175368,563582,Austria,Electricity - total hydro production,2001,"Kilowatt-hours, million",41837.0,hydro,Electricity,total hydro production,Green
175369,563583,Austria,Electricity - total hydro production,2000,"Kilowatt-hours, million",43219.0,hydro,Electricity,total hydro production,Green
175370,563584,Austria,Electricity - total hydro production,1999,"Kilowatt-hours, million",41727.0,hydro,Electricity,total hydro production,Green
175371,563585,Austria,Electricity - total hydro production,1998,"Kilowatt-hours, million",38254.0,hydro,Electricity,total hydro production,Green
175372,563586,Austria,Electricity - total hydro production,1997,"Kilowatt-hours, million",37124.0,hydro,Electricity,total hydro production,Green
175373,563587,Austria,Electricity - total hydro production,1996,"Kilowatt-hours, million",35522.0,hydro,Electricity,total hydro production,Green
175374,563588,Austria,Electricity - total hydro production,1995,"Kilowatt-hours, million",38114.0,hydro,Electricity,total hydro production,Green
175375,563589,Austria,Electricity - total hydro production,1994,"Kilowatt-hours, million",36729.0,hydro,Electricity,total hydro production,Green
175376,563590,Austria,Electricity - total hydro production,1993,"Kilowatt-hours, million",37756.0,hydro,Electricity,total hydro production,Green
175377,563591,Austria,Electricity - total hydro production,1992,"Kilowatt-hours, million",36099.0,hydro,Electricity,total hydro production,Green
175378,563592,Austria,Electricity - total hydro production,1991,"Kilowatt-hours, million",32745.0,hydro,Electricity,total hydro production,Green
175379,563593,Austria,Electricity - total hydro production,1990,"Kilowatt-hours, million",32507.0,hydro,Electricity,total hydro production,Green
175380,563665,Belgium,Electricity - total hydro production,2014,"Kilowatt-hours, million",1507.0,hydro,Electricity,total hydro production,Green
175381,563666,Belgium,Electricity - total hydro production,2013,"Kilowatt-hours, million",1723.0,hydro,Electricity,total hydro production,Green
175382,563667,Belgium,Electricity - total hydro production,2012,"Kilowatt-hours, million",1659.0,hydro,Electricity,total hydro production,Green
175383,563668,Belgium,Electricity - total hydro production,2011,"Kilowatt-hours, million",1423.0,hydro,Electricity,total hydro production,Green
175384,563669,Belgium,Electricity - total hydro production,2010,"Kilowatt-hours, million",1668.0,hydro,Electricity,total hydro production,Green
175385,563670,Belgium,Electricity - total hydro production,2009,"Kilowatt-hours, million",1757.0,hydro,Electricity,total hydro production,Green
175386,563671,Belgium,Electricity - total hydro production,2008,"Kilowatt-hours, million",1757.0,hydro,Electricity,total hydro production,Green
175387,563672,Belgium,Electricity - total hydro production,2007,"Kilowatt-hours, million",1683.0,hydro,Electricity,total hydro production,Green
175388,563673,Belgium,Electricity - total hydro production,2006,"Kilowatt-hours, million",1628.0,hydro,Electricity,total hydro production,Green
175389,563674,Belgium,Electricity - total hydro production,2005,"Kilowatt-hours, million",1604.0,hydro,Electricity,total hydro production,Green
175390,563675,Belgium,Electricity - total hydro production,2004,"Kilowatt-hours, million",1607.0,hydro,Electricity,total hydro production,Green
175391,563676,Belgium,Electricity - total hydro production,2003,"Kilowatt-hours, million",1316.0,hydro,Electricity,total hydro production,Green
175392,563677,Belgium,Electricity - total hydro production,2002,"Kilowatt-hours, million",1490.0,hydro,Electricity,total hydro production,Green
175393,563678,Belgium,Electricity - total hydro production,2001,"Kilowatt-hours, million",1644.0,hydro,Electricity,total hydro production,Green
175394,563679,Belgium,Electricity - total hydro production,2000,"Kilowatt-hours, million",1699.0,hydro,Electricity,total hydro production,Green
175395,563680,Belgium,Electricity - total hydro production,1999,"Kilowatt-hours, million",1489.0,hydro,Electricity,total hydro production,Green
175396,563681,Belgium,Electricity - total hydro production,1998,"Kilowatt-hours, million",1497.0,hydro,Electricity,total hydro production,Green
175397,563682,Belgium,Electricity - total hydro production,1997,"Kilowatt-hours, million",1277.0,hydro,Electricity,total hydro production,Green
175398,563683,Belgium,Electricity - total hydro production,1996,"Kilowatt-hours, million",1200.0,hydro,Electricity,total hydro production,Green
175399,563684,Belgium,Electricity - total hydro production,1995,"Kilowatt-hours, million",1230.0,hydro,Electricity,total hydro production,Green
175400,563685,Belgium,Electricity - total hydro production,1994,"Kilowatt-hours, million",1184.0,hydro,Electricity,total hydro production,Green
175401,563686,Belgium,Electricity - total hydro production,1993,"Kilowatt-hours, million",1020.0,hydro,Electricity,total hydro production,Green
175402,563687,Belgium,Electricity - total hydro production,1992,"Kilowatt-hours, million",1156.0,hydro,Electricity,total hydro production,Green
175403,563688,Belgium,Electricity - total hydro production,1991,"Kilowatt-hours, million",979.0,hydro,Electricity,total hydro production,Green
175404,563689,Belgium,Electricity - total hydro production,1990,"Kilowatt-hours, million",897.0,hydro,Electricity,total hydro production,Green
175405,563819,Bulgaria,Electricity - total hydro production,2014,"Kilowatt-hours, million",5163.0,hydro,Electricity,total hydro production,Green
175406,563820,Bulgaria,Electricity - total hydro production,2013,"Kilowatt-hours, million",4795.0,hydro,Electricity,total hydro production,Green
175407,563821,Bulgaria,Electricity - total hydro production,2012,"Kilowatt-hours, million",3976.0,hydro,Electricity,total hydro production,Green
175408,563822,Bulgaria,Electricity - total hydro production,2011,"Kilowatt-hours, million",3691.0,hydro,Electricity,total hydro production,Green
175409,563823,Bulgaria,Electricity - total hydro production,2010,"Kilowatt-hours, million",5693.0,hydro,Electricity,total hydro production,Green
175410,563824,Bulgaria,Electricity - total hydro production,2009,"Kilowatt-hours, million",4053.0,hydro,Electricity,total hydro production,Green
175411,563825,Bulgaria,Electricity - total hydro production,2008,"Kilowatt-hours, million",3277.0,hydro,Electricity,total hydro production,Green
175412,563826,Bulgaria,Electricity - total hydro production,2007,"Kilowatt-hours, million",3234.0,hydro,Electricity,total hydro production,Green
175413,563827,Bulgaria,Electricity - total hydro production,2006,"Kilowatt-hours, million",4579.0,hydro,Electricity,total hydro production,Green
175414,563828,Bulgaria,Electricity - total hydro production,2005,"Kilowatt-hours, million",4730.0,hydro,Electricity,total hydro production,Green
175415,563829,Bulgaria,Electricity - total hydro production,2004,"Kilowatt-hours, million",3363.0,hydro,Electricity,total hydro production,Green
175416,563830,Bulgaria,Electricity - total hydro production,2003,"Kilowatt-hours, million",3301.0,hydro,Electricity,total hydro production,Green
175417,563831,Bulgaria,Electricity - total hydro production,2002,"Kilowatt-hours, million",2704.0,hydro,Electricity,total hydro production,Green
175418,563832,Bulgaria,Electricity - total hydro production,2001,"Kilowatt-hours, million",2172.0,hydro,Electricity,total hydro production,Green
175419,563833,Bulgaria,Electricity - total hydro production,2000,"Kilowatt-hours, million",2952.0,hydro,Electricity,total hydro production,Green
175420,563834,Bulgaria,Electricity - total hydro production,1999,"Kilowatt-hours, million",2984.0,hydro,Electricity,total hydro production,Green
175421,563835,Bulgaria,Electricity - total hydro production,1998,"Kilowatt-hours, million",3328.0,hydro,Electricity,total hydro production,Green
175422,563836,Bulgaria,Electricity - total hydro production,1997,"Kilowatt-hours, million",2936.0,hydro,Electricity,total hydro production,Green
175423,563837,Bulgaria,Electricity - total hydro production,1996,"Kilowatt-hours, million",2919.0,hydro,Electricity,total hydro production,Green
175424,563838,Bulgaria,Electricity - total hydro production,1995,"Kilowatt-hours, million",2314.0,hydro,Electricity,total hydro production,Green
175425,563839,Bulgaria,Electricity - total hydro production,1994,"Kilowatt-hours, million",1468.0,hydro,Electricity,total hydro production,Green
175426,563840,Bulgaria,Electricity - total hydro production,1993,"Kilowatt-hours, million",1942.0,hydro,Electricity,total hydro production,Green
175427,563841,Bulgaria,Electricity - total hydro production,1992,"Kilowatt-hours, million",2063.0,hydro,Electricity,total hydro production,Green
175428,563842,Bulgaria,Electricity - total hydro production,1991,"Kilowatt-hours, million",2441.0,hydro,Electricity,total hydro production,Green
175429,563843,Bulgaria,Electricity - total hydro production,1990,"Kilowatt-hours, million",1878.0,hydro,Electricity,total hydro production,Green
175430,564144,Croatia,Electricity - total hydro production,2014,"Kilowatt-hours, million",9125.0,hydro,Electricity,total hydro production,Green
175431,564145,Croatia,Electricity - total hydro production,2013,"Kilowatt-hours, million",8727.0,hydro,Electricity,total hydro production,Green
175432,564146,Croatia,Electricity - total hydro production,2012,"Kilowatt-hours, million",4999.0,hydro,Electricity,total hydro production,Green
175433,564147,Croatia,Electricity - total hydro production,2011,"Kilowatt-hours, million",5162.0,hydro,Electricity,total hydro production,Green
175434,564148,Croatia,Electricity - total hydro production,2010,"Kilowatt-hours, million",9232.0,hydro,Electricity,total hydro production,Green
175435,564149,Croatia,Electricity - total hydro production,2009,"Kilowatt-hours, million",7494.0,hydro,Electricity,total hydro production,Green
175436,564150,Croatia,Electricity - total hydro production,2008,"Kilowatt-hours, million",5891.0,hydro,Electricity,total hydro production,Green
175437,564151,Croatia,Electricity - total hydro production,2007,"Kilowatt-hours, million",4864.0,hydro,Electricity,total hydro production,Green
175438,564152,Croatia,Electricity - total hydro production,2006,"Kilowatt-hours, million",6741.0,hydro,Electricity,total hydro production,Green
175439,564153,Croatia,Electricity - total hydro production,2005,"Kilowatt-hours, million",7141.0,hydro,Electricity,total hydro production,Green
175440,564154,Croatia,Electricity - total hydro production,2004,"Kilowatt-hours, million",7720.0,hydro,Electricity,total hydro production,Green
175441,564155,Croatia,Electricity - total hydro production,2003,"Kilowatt-hours, million",5518.0,hydro,Electricity,total hydro production,Green
175442,564156,Croatia,Electricity - total hydro production,2002,"Kilowatt-hours, million",5918.0,hydro,Electricity,total hydro production,Green
175443,564157,Croatia,Electricity - total hydro production,2001,"Kilowatt-hours, million",7219.0,hydro,Electricity,total hydro production,Green
175444,564158,Croatia,Electricity - total hydro production,2000,"Kilowatt-hours, million",6471.0,hydro,Electricity,total hydro production,Green
175445,564159,Croatia,Electricity - total hydro production,1999,"Kilowatt-hours, million",7329.0,hydro,Electricity,total hydro production,Green
175446,564160,Croatia,Electricity - total hydro production,1998,"Kilowatt-hours, million",6030.0,hydro,Electricity,total hydro production,Green
175447,564161,Croatia,Electricity - total hydro production,1997,"Kilowatt-hours, million",5864.0,hydro,Electricity,total hydro production,Green
175448,564162,Croatia,Electricity - total hydro production,1996,"Kilowatt-hours, million",7863.0,hydro,Electricity,total hydro production,Green
175449,564163,Croatia,Electricity - total hydro production,1995,"Kilowatt-hours, million",5683.0,hydro,Electricity,total hydro production,Green
175450,564164,Croatia,Electricity - total hydro production,1994,"Kilowatt-hours, million",5435.0,hydro,Electricity,total hydro production,Green
175451,564165,Croatia,Electricity - total hydro production,1993,"Kilowatt-hours, million",4550.0,hydro,Electricity,total hydro production,Green
175452,564166,Croatia,Electricity - total hydro production,1992,"Kilowatt-hours, million",4349.0,hydro,Electricity,total hydro production,Green
175453,564192,Czechia,Electricity - total hydro production,2014,"Kilowatt-hours, million",2961.0,hydro,Electricity,total hydro production,Green
175454,564193,Czechia,Electricity - total hydro production,2013,"Kilowatt-hours, million",3639.0,hydro,Electricity,total hydro production,Green
175455,564194,Czechia,Electricity - total hydro production,2012,"Kilowatt-hours, million",2860.0,hydro,Electricity,total hydro production,Green
175456,564195,Czechia,Electricity - total hydro production,2011,"Kilowatt-hours, million",2664.0,hydro,Electricity,total hydro production,Green
175457,564196,Czechia,Electricity - total hydro production,2010,"Kilowatt-hours, million",3380.0,hydro,Electricity,total hydro production,Green
175458,564197,Czechia,Electricity - total hydro production,2009,"Kilowatt-hours, million",2982.0,hydro,Electricity,total hydro production,Green
175459,564198,Czechia,Electricity - total hydro production,2008,"Kilowatt-hours, million",2376.0,hydro,Electricity,total hydro production,Green
175460,564199,Czechia,Electricity - total hydro production,2007,"Kilowatt-hours, million",2523.0,hydro,Electricity,total hydro production,Green
175461,564200,Czechia,Electricity - total hydro production,2006,"Kilowatt-hours, million",3257.0,hydro,Electricity,total hydro production,Green
175462,564201,Czechia,Electricity - total hydro production,2005,"Kilowatt-hours, million",3027.0,hydro,Electricity,total hydro production,Green
175463,564202,Czechia,Electricity - total hydro production,2004,"Kilowatt-hours, million",2562.0,hydro,Electricity,total hydro production,Green
175464,564203,Czechia,Electricity - total hydro production,2003,"Kilowatt-hours, million",1794.0,hydro,Electricity,total hydro production,Green
175465,564204,Czechia,Electricity - total hydro production,2002,"Kilowatt-hours, million",2845.0,hydro,Electricity,total hydro production,Green
175466,564205,Czechia,Electricity - total hydro production,2001,"Kilowatt-hours, million",2467.0,hydro,Electricity,total hydro production,Green
175467,564206,Czechia,Electricity - total hydro production,2000,"Kilowatt-hours, million",2313.0,hydro,Electricity,total hydro production,Green
175468,564207,Czechia,Electricity - total hydro production,1999,"Kilowatt-hours, million",2216.0,hydro,Electricity,total hydro production,Green
175469,564208,Czechia,Electricity - total hydro production,1998,"Kilowatt-hours, million",1884.0,hydro,Electricity,total hydro production,Green
175470,564209,Czechia,Electricity - total hydro production,1997,"Kilowatt-hours, million",2080.0,hydro,Electricity,total hydro production,Green
175471,564210,Czechia,Electricity - total hydro production,1996,"Kilowatt-hours, million",2403.0,hydro,Electricity,total hydro production,Green
175472,564211,Czechia,Electricity - total hydro production,1995,"Kilowatt-hours, million",2274.0,hydro,Electricity,total hydro production,Green
175473,564212,Czechia,Electricity - total hydro production,1994,"Kilowatt-hours, million",1776.0,hydro,Electricity,total hydro production,Green
175474,564213,Czechia,Electricity - total hydro production,1993,"Kilowatt-hours, million",1596.0,hydro,Electricity,total hydro production,Green
175475,564214,Czechia,Electricity - total hydro production,1992,"Kilowatt-hours, million",1638.0,hydro,Electricity,total hydro production,Green
175476,564242,Denmark,Electricity - total hydro production,2014,"Kilowatt-hours, million",15.0,hydro,Electricity,total hydro production,Green
175477,564243,Denmark,Electricity - total hydro production,2013,"Kilowatt-hours, million",13.0,hydro,Electricity,total hydro production,Green
175478,564244,Denmark,Electricity - total hydro production,2012,"Kilowatt-hours, million",17.0,hydro,Electricity,total hydro production,Green
175479,564245,Denmark,Electricity - total hydro production,2011,"Kilowatt-hours, million",17.0,hydro,Electricity,total hydro production,Green
